,Unnamed: 0,issuekey,title,description,storypoint,project
12124,13269,MULE-7005,servernotification completing work after listener failure,as a user i register a notification listener in the servernotificationmanager if that listener throws an exception then the servernotificationmanager finishes causing that we dont have any notification anymore this is the error that mule is showing error 20130905 130544935 notificationserverdownmule01 orgmuleworkdefaultworklistener work caused exception on workcompleted work being executed was orgmulecontextnotificationservernotificationmanager59fe1da2,8,mule
12185,13330,MULE-7213,mvel version upgrade,as a user of mule 350 i would like mule to depend on the latest version of mvel to stay uptodate with the latest mvel bug fixesenhancements the latest version seems to be 218,5,mule
12423,13568,MULE-7760,amqp transport define connector schema,as a user i want i want to be able to rely on a defined schema to write my amqp integrations so that i have exact knowledge of how im syntactically supposed to use the transport and to have help from my ide to autocomplete and detect errors,8,mule
12425,13570,MULE-7762,amqp transport create configuration element,as a user i want i want to be able to configure the transport in a single point so that i can configure the common transport attributes in a single reusable place,8,mule
12426,13571,MULE-7763,amqp transport create inbound receiver,as a user i want i want to be able consume continuously amqp messages so that a muleevent is created and delivered to a flow when a messages arrives to a queue and is comsumed,8,mule
12427,13572,MULE-7764,amqp transport create inbound requestor,as a user i want i want to be able consume instantly amqp messages so that i can consume messages at any point of the flow,5,mule
12428,13573,MULE-7766,amqp transport integration testing,as a user i want i want the transport to be tested against a real broker and a real application so that i can be sure the transport works on real world usage,8,mule
12685,13830,MULE-8331,application plugins support for external dependencies,as a user i will like to use a connector such as siebel packaged as a plugin deployed in the plugins folder and be able to use external dependencies that cannot be shipped inside the connector,8,mule
13049,14194,STUDIO-2865,retrieved metadata from operations must be available through different studio session,as a user i want to have the operation metadata i retrieve available in different studio sessions,8,mulestudio
13140,14285,STUDIO-3152,clear application data,as a user i want to be able to reset the object store or remove any other persistent data for my project acceptance criteria user can right click on project and click clear application data on a project this will delete the default user object store on disk old description looks like the default implementation of the object store in mule has change to a persistent implementation although this is not a major problem it has its problems mainly as most of us are not aware of this fact the problem is that we shut down the app and studio and when we restarted the info is still there itll be a cool feature to add a button to studio that clean this persistent storage in the file system as a work around mariano merlo found that the storage is being held in workspacemulemuleprojectobjectstore and if you delete it you are good to go but most people are not as smart as he is,5,mulestudio
13204,14349,STUDIO-3364,allow user to set studio project system properties,as a user i want to set the system properties needed to start my application whether its via run as debug as or datasense httpcorpwikimulesourcecomdisplaywpstudioandenvironments,5,mulestudio
13316,14461,STUDIO-3950,threading profile for batch,as a user i want to configure the threading profile for batch code todo paste xml snippet code,1,mulestudio
13318,14463,STUDIO-3956,changing runtime usability improvements,as a user i will like that changing the runtime offer better options to automatically upgrade all connectors,3,mulestudio
13344,14489,STUDIO-4217,create web services consumer editor,as a user i will like to configure web services component through studio ui be able to discover a wsdl on my filesystem be able to type in a url for a wsdl be able to choose the service port operation rather than type them in have the service address automatically populated based on port that is chosen clearly see errors caused by invalid wsdl or wsdl not found,8,mulestudio
13384,14529,STUDIO-4377,support datamapping with nonull payload,as a user i want to be able to do datamapping even if i have a null payload so that i can map my input arguments to my output for creating web service queries eg someone is polling a web service and using the watermark to create the query,8,mulestudio
13408,14553,STUDIO-4600,propertiesvariables dont stay expanded when navigating between message processors,as a user i want my properties and flow variables to stay expanded or collapsed when moving from block to block in studio,8,mulestudio
13422,14567,STUDIO-4743,drag item from metadat explorer and create expression,as a user i want to be able to drag an item from the datasense explorer into a text box and have an expression generated for me acceptance criteria must work with payload variables and properties must use syntax must properly escape properties ie foobar baz must support maps and pojos must handle things correctly if you drag in an existing expression vs an empty text box must support xml todo whats the valid way to do this,5,mulestudio
13478,14623,STUDIO-5383,new launcher display server information in header,as a user i want to see the name of the server that im launching so i have context into what version it is acceptance criteria server name and version should be visible in header,2,mulestudio
13480,14625,STUDIO-5385,http client request builder,as a user i want to configure the http message processors to use the request builder acceptance criteria can configure individual headers query params and form params can configure the and,8,mulestudio
13481,14626,STUDIO-5386,http client getpostputdeleteexecute message processors,as a user i want to configure an outbound http connector to do get post put delete and execute operations acceptance criteria two way editing works for the following items in the spec get post put delete and execute operations resource host and port follow redirects success and error status codes if i select execute i can input my own http method,3,mulestudio
13482,14627,STUDIO-5387,http client global configuration,as a user i want to configure my global configuration including url port and base path raml file acceptance criteria two way editing works for the abovce areas as defined in the spec,3,mulestudio
13483,14628,STUDIO-5389,http client raml based configuration,as a user i want to use my raml to assist in configuring the http connector acceptance criteria list of resources in the raml should be visible in the resource field list of methods which are applicable to that resource should be visible should be able to write an expression to override the resource or method query form and header params should be autopopulated from the raml,3,mulestudio
13484,14629,STUDIO-5390,http client datasense propagation for json schema,as a user i want my json schema to propagate over datasense when i select an oepration,5,mulestudio
13485,14630,STUDIO-5391,http client datasense propagation for xml schema,as a user i want my raml metadata to propagate xml schema information over datasense,3,mulestudio
13492,14637,STUDIO-5438,add metadata propagation for json by example,as a user using json by example in datamapper i will like that this metadata gets propagated in the flow,8,mulestudio
13577,14722,STUDIO-6090,df declare inputs when using auto complete,as a user i want studio to add in input declarations for my payload flowvars etc when i use autocompletion,5,mulestudio
13580,14725,STUDIO-6096,df output view for java objects,as a user i want to see sample output for my java objects when doing transformations text representation only,3,mulestudio
